index,gender,car,reality,child_num,income_total,income_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month
0,F,N,N,0,225000.0,State servant,With parents,-12269,-196,0,1,0,Medicine staff,2.0,0.0
1,M,N,Y,0,180000.0,Working,House / apartment,-10049,-1405,0,0,1,Sales staff,2.0,-50.0
2,F,N,N,0,90000.0,Working,House / apartment,-19304,-464,1,1,0,Core staff,1.0,-2.0
3,M,Y,N,1,315000.0,State servant,Municipal apartment,-9095,-926,0,0,0,Core staff,3.0,-22.0
4,F,N,Y,0,67500.0,Pensioner,House / apartment,-20480,365243,0,1,0,,1.0,-43.0
5,F,N,Y,0,220500.0,Pensioner,House / apartment,-21602,365243,0,0,0,,2.0,-47.0
6,F,N,Y,0,90000.0,Pensioner,House / apartment,-21286,365243,0,0,0,,2.0,-9.0
7,F,Y,N,2,135000.0,Working,House / apartment,-13928,-3052,0,0,0,Laborers,4.0,-19.0
8,M,N,Y,0,162000.0,Working,House / apartment,-11495,-581,0,0,0,Security staff,1.0,-41.0
9,F,N,N,1,135000.0,State servant,House / apartment,-9454,-1022,1,0,0,Managers,3.0,-19.0
10,M,Y,Y,0,135000.0,Working,House / apartment,-14495,-3505,0,1,0,Laborers,2.0,-36.0
11,F,Y,Y,0,180000.0,Working,House / apartment,-11749,-992,0,0,0,Medicine staff,2.0,-23.0
12,M,Y,Y,0,225000.0,State servant,House / apartment,-11898,-2446,0,0,0,,2.0,-7.0
13,M,Y,Y,0,180000.0,Working,House / apartment,-16280,-3062,0,1,1,Managers,2.0,-26.0
14,F,Y,Y,1,126000.0,Commercial associate,House / apartment,-10128,-367,0,1,0,Core staff,3.0,-9.0
15,M,Y,N,2,139500.0,Working,House / apartment,-12989,-1598,1,1,0,Core staff,4.0,-21.0
16,F,Y,N,1,157500.0,Working,House / apartment,-14883,-1010,0,0,0,Sales staff,3.0,-38.0
17,F,N,Y,1,99000.0,Commercial associate,House / apartment,-14798,-3251,1,1,0,Laborers,3.0,-12.0
18,F,N,N,0,157500.0,Pensioner,House / apartment,-21595,365243,0,0,1,,2.0,-47.0
19,M,N,N,0,180000.0,Working,House / apartment,-17386,-3503,0,0,0,Laborers,2.0,-2.0
20,F,N,N,1,112500.0,Working,House / apartment,-14788,-2661,1,1,0,Core staff,3.0,-21.0
21,F,N,Y,0,202500.0,Working,House / apartment,-10981,-552,0,0,0,Laborers,2.0,-5.0
22,F,N,N,0,135000.0,Working,House / apartment,-13113,-4722,1,0,0,Laborers,1.0,-25.0
23,F,N,Y,0,90000.0,Working,Municipal apartment,-17708,-5555,0,0,0,Laborers,2.0,-16.0
24,F,N,Y,0,112500.0,Working,House / apartment,-19261,-5130,0,0,0,Sales staff,2.0,-50.0
25,F,N,N,0,94500.0,Pensioner,House / apartment,-23647,365243,0,1,0,,1.0,-15.0
26,F,Y,Y,1,157500.0,Working,House / apartment,-9800,-2109,0,0,1,Medicine staff,2.0,-14.0
27,M,Y,Y,0,135000.0,Commercial associate,House / apartment,-13087,-313,0,0,0,,2.0,-54.0
28,F,N,Y,0,202500.0,State servant,House / apartment,-23341,-5437,0,0,0,Medicine staff,1.0,-27.0
29,F,N,Y,0,247500.0,Working,House / apartment,-17214,-5184,1,1,0,Laborers,1.0,-39.0
30,F,N,Y,0,112500.0,Working,House / apartment,-9957,-1032,0,0,0,Laborers,1.0,-3.0
31,F,N,N,0,112500.0,Commercial associate,House / apartment,-20285,-1734,1,1,0,High skill tech staff,2.0,-50.0
32,M,Y,Y,0,405000.0,Working,House / apartment,-10323,-2622,1,1,1,Managers,2.0,-28.0
33,F,N,N,1,45000.0,Working,House / apartment,-12311,-3969,0,0,0,,3.0,-48.0
34,M,Y,Y,1,135000.0,Working,House / apartment,-11638,-5009,0,1,0,Laborers,3.0,-54.0
35,M,N,N,0,67500.0,Working,House / apartment,-18674,-5304,1,1,0,Security staff,2.0,-12.0
36,M,Y,Y,2,180000.0,State servant,House / apartment,-12258,-5450,0,0,0,Drivers,4.0,-30.0
37,F,Y,N,0,162000.0,Pensioner,House / apartment,-23240,365243,0,1,0,,1.0,-19.0
38,M,N,Y,1,135000.0,Working,House / apartment,-9547,-1340,0,0,0,Drivers,3.0,-18.0
39,F,N,Y,0,112500.0,Pensioner,House / apartment,-21775,365243,0,0,0,,1.0,-36.0
40,F,Y,Y,0,157500.0,Commercial associate,House / apartment,-14639,-679,0,0,0,Accountants,2.0,-46.0
41,M,N,Y,0,148500.0,Working,House / apartment,-11963,-3246,0,0,0,Laborers,2.0,-45.0
42,M,N,Y,0,180000.0,Working,House / apartment,-9288,-959,0,0,0,Laborers,1.0,-14.0
43,F,Y,N,0,112500.0,Working,House / apartment,-10377,-3024,0,0,0,Medicine staff,1.0,0.0
44,F,Y,Y,0,292500.0,Commercial associate,House / apartment,-16930,-8995,0,0,0,High skill tech staff,1.0,-26.0
45,M,Y,N,1,135000.0,Working,House / apartment,-9430,-1195,1,0,0,Sales staff,3.0,-24.0
46,M,Y,N,0,292500.0,Pensioner,House / apartment,-18875,365243,0,0,0,,2.0,-40.0
47,F,N,Y,2,157500.0,Commercial associate,House / apartment,-10086,-1679,0,0,0,Sales staff,4.0,-24.0
48,M,N,N,0,270000.0,Working,Rented apartment,-17300,-408,1,1,0,Managers,2.0,-3.0
49,M,N,N,0,225000.0,Working,House / apartment,-21149,-11884,1,0,0,Laborers,2.0,-46.0
50,M,Y,Y,0,225000.0,Working,With parents,-15563,-3184,0,1,0,Drivers,1.0,-55.0
51,F,N,Y,2,118350.0,Working,House / apartment,-10355,-3260,0,0,0,Cooking staff,4.0,-12.0
52,F,Y,N,0,225000.0,Working,House / apartment,-15318,-5490,0,0,0,Accountants,2.0,-59.0
53,M,N,Y,1,157500.0,Working,House / apartment,-20315,-5454,0,0,0,Laborers,3.0,-11.0
54,F,N,Y,2,144000.0,Working,House / apartment,-12393,-1854,1,1,0,Cooking staff,4.0,-5.0
55,M,Y,Y,0,112500.0,Working,House / apartment,-13440,-6639,0,0,0,Core staff,2.0,-50.0
56,F,Y,Y,1,108000.0,Working,House / apartment,-14798,-6333,0,0,0,,2.0,-49.0
57,F,N,Y,0,81000.0,Pensioner,House / apartment,-21121,365243,0,0,0,,2.0,-10.0
58,M,Y,Y,0,180000.0,Working,House / apartment,-18475,-1782,0,0,0,Cleaning staff,1.0,-36.0
59,F,N,Y,0,90000.0,Working,House / apartment,-19205,-1552,1,1,0,,2.0,-33.0
60,F,N,N,1,126000.0,Working,House / apartment,-19691,-473,0,0,0,,2.0,-40.0
61,F,N,Y,0,315000.0,Working,House / apartment,-18018,-11157,0,0,0,Private service staff,2.0,-3.0
62,M,N,Y,0,126000.0,Pensioner,Rented apartment,-16491,365243,0,0,0,,2.0,-24.0
63,F,Y,Y,0,157500.0,Commercial associate,House / apartment,-11337,-1196,0,0,0,High skill tech staff,2.0,-2.0
64,F,N,Y,0,94500.0,Pensioner,House / apartment,-24285,365243,0,0,0,,2.0,-28.0
65,F,Y,N,0,180000.0,State servant,Municipal apartment,-21713,-3780,0,0,0,Core staff,2.0,-32.0
66,F,N,Y,0,103500.0,Pensioner,House / apartment,-23751,365243,0,0,0,,1.0,-16.0
67,M,Y,Y,0,225000.0,Commercial associate,House / apartment,-15994,-2537,0,1,0,Sales staff,1.0,-13.0
68,M,N,Y,0,225000.0,Working,House / apartment,-18817,-2934,1,0,0,Laborers,2.0,-47.0
69,F,N,Y,0,225000.0,Working,House / apartment,-17296,-2076,0,0,0,Managers,2.0,-47.0
70,F,N,N,0,112500.0,Commercial associate,With parents,-16978,-821,0,0,0,,2.0,-38.0
71,M,Y,Y,0,180000.0,Working,House / apartment,-14321,-1537,0,0,0,Drivers,2.0,-18.0
72,F,Y,N,0,135000.0,Pensioner,House / apartment,-23324,365243,0,1,0,,2.0,-9.0
73,F,Y,Y,0,225000.0,Commercial associate,House / apartment,-12075,-1430,0,1,0,High skill tech staff,1.0,-9.0
74,F,Y,Y,2,135000.0,Working,House / apartment,-12334,-460,0,0,0,Accountants,4.0,-18.0
75,F,Y,Y,0,243000.0,Working,House / apartment,-14716,-2057,0,0,0,Sales staff,1.0,-29.0
76,F,N,N,0,121500.0,Working,House / apartment,-9783,-1688,0,0,0,Core staff,2.0,-14.0
77,F,N,N,0,270000.0,Working,House / apartment,-15611,-2958,0,0,0,Laborers,1.0,-22.0
78,F,N,N,0,135000.0,Commercial associate,House / apartment,-14924,-2257,1,0,0,HR staff,2.0,-14.0
79,M,Y,Y,0,162000.0,Pensioner,House / apartment,-24507,365243,0,0,0,,2.0,-53.0
80,F,N,N,0,94500.0,Working,House / apartment,-9071,-958,0,0,0,,2.0,-31.0
81,F,Y,N,1,315000.0,Commercial associate,House / apartment,-11025,-2065,1,1,1,,3.0,-30.0
